id	2HRS	4HRS	6HRS	8HRS	10HRS	12HRS	14HRS	16HRS	18HRS	20HRS	22HRS	24HRS
PBANKA_0620800	91.2751677852349	94.6060154113845	91.4243102162565	77.4546358438976	90.82774049217	93.0400198856575	87.8697489435745	96.5945811583396	94.9043002734278	95.4262987820035	97.8622918220234	93.1643052448422
PBANKA_0620900	83.4949043002734	72.0606512552821	79.4183445190157	79.4432015908526	78.473775789212	74.4469301516281	70.7680835197614	78.0512055679841	83.668903803132	85.7568978374347	89.236887894606	91.4988814317673
PBANKA_0621000	32.5379070345513	32.289336316182	33.5819040517027	37.5093214019388	41.7598806860552	38.23017648521	45.5878697489436	43.2264479244345	51.404424558787	52.8212776534924	44.4444444444444	41.6355953268705
PBANKA_0621100	84.5886154610987	84.3400447427293	81.9040517027094	87.5963211533681	86.055182699478	81.8294804871986	67.1389510315685	58.0164056674124	54.7601292567736	49.4655729555058	61.8195376584638	58.8366890380313
PBANKA_0621300	50.4847129008203	21.1533681332339	56.6244096445439	28.8093462590107	45.7867263236391	40.4424558786975	39.0007457121551	37.0867511807109	47.8498632861049	50.7829977628635	26.7710663683818	19.6122296793438
PBANKA_0621400	72.4335073328362	88.7646035297042	64.6035297042008	45.7618692518021	73.0300770569227	49.0927168779518	39.050459855829	68.1580909768829	66.0949540144171	63.7832463335819	82.5503355704698	87.3228933631618
PBANKA_0621500	48.7695749440716	44.4195873726075	49.415858811832	55.1826994780015	54.2878448918717	53.8404175988069	61.6455381556053	58.3146905294556	58.3892617449664	49.3164305244842	32.4384787472036	40.8898831717624
PBANKA_0621600	72.2843649018146	56.4504101416853	71.314939100174	63.2861048968431	65.0758140691027	73.6515038528461	71.2652249565001	80.3877703206562	70.9917971662938	67.4620929654487	75.0932140193885	52.7218493661447
PBANKA_0621700	35.9433258762118	31.891623166791	44.6681580909769	42.9778772060651	43.6987322893363	39.0007457121551	23.7882177479493	31.7921948794432	14.2928163062391	16.3559532687049	7.00969425801641	20.6313696246582
PBANKA_0621800	18.4688043748446	18.7919463087248	31.6679095202585	42.2818791946309	30.3256276410639	33.4327616206811	13.2239622172508	17.8970917225951	53.9398458861546	31.7424807357693	69.1026597066866	75.9632115336813
PBANKA_0621900	88.0686055182699	68.928660203828	84.7626149639572	76.4354958985831	79.5674869500373	74.3723589361173	75.1677852348993	65.5978125776784	64.0318170519513	63.1121053939846	86.6517524235645	85.4337559035546
PBANKA_0622000	13.0002485707184	8.25254784986329	6.71140939597315	28.9833457618693	14.3922445935869	13.8453890131742	44.8918717375093	21.3770817797663	43.3755903554561	50.8078548347005	31.9413373104648	22.3465075814069
PBANKA_0622100	33.482475764355	37.857320407656	34.2033308476261	44.7178722346508	45.9855828983346	33.6813323390505	37.6584638329605	46.209296544867	48.1481481481481	48.7447178722347	57.0469798657718	48.8938603032563
PBANKA_0622200	79.1449167288093	76.8580661198111	77.3800646283868	77.1812080536913	68.8043748446433	75.2672135222471	67.9840914740244	70.8426547352722	62.2918220233656	61.1732537907035	67.9840914740244	51.4541387024609
PBANKA_0622300	32.8859060402685	24.9565001242854	54.1138453890132	46.0352970420085	50.2609992542878	62.0432513049963	41.7350236142182	28.0636341039026	28.0387770320656	27.6659209545116	22.3962217250808	10.5891126025354
PBANKA_0622400	34.8247576435496	27.8647775292071	19.5625155356699	32.3390504598558	16.2813820531941	23.8130748197862	31.4939100174	26.5224956500124	24.0119313944817	39.025602783992	31.7176236639324	33.3084762614964
PBANKA_0622500	37.3104648272434	45.4635843897589	32.4136216753666	51.3298533432762	56.6741237882177	67.0892368878946	53.790703455133	66.0452398707432	72.1849366144668	65.7718120805369	34.8993288590604	37.0121799652001
PBANKA_0622600	55.1578424061646	62.3415361670395	46.607009694258	39.025602783992	27.491921451653	38.3544618443947	42.6795923440219	42.4061645538156	57.0221227939349	64.3798160576684	80.1640566741238	79.3189162316679
PBANKA_0622700	87.1986080039771	90.7531692766592	83.7186179468059	93.6863037534178	88.1183196619438	89.0628883917474	91.3745960725826	92.020879940343	87.9691772309222	85.2846134725329	69.3512304250559	77.8274919214517
PBANKA_0622800	79.4432015908526	69.9478001491424	60.7755406413125	78.3743475018643	53.368133233905	62.2421078796918	36.9376087496893	42.6050211285111	65.0509569972657	59.4581158339548	13.4228187919463	78.1506338553318
PBANKA_0622900	82.3266219239374	88.0686055182699	75.2174993785732	77.9766343524733	77.5043499875715	87.8448918717375	97.9120059656972	98.7820034799901	99.4282873477504	99.3040019885657	99.2791449167288	95.9234402187422
PBANKA_0623000	72.7069351230425	70.8177976634352	51.4789957742978	73.2289336316182	58.165548098434	57.2955505841412	54.2381307481979	63.2861048968431	85.7320407655978	84.7377578921203	92.5428784489187	95.2771563509819
PBANKA_0623100	97.9120059656972	98.011434253045	96.2714392244594	96.1222967934377	93.3631618195377	95.8737260750684	92.6920208799403	95.0037285607755	96.6940094456873	98.3842903305991	97.6634352473279	96.6940094456873
PBANKA_0623200	85.3094705443699	81.5809097688292	75.1429281630624	79.9652000994283	51.8767089236888	65.0758140691027	75.9632115336813	63.0872483221477	84.7874720357942	84.6631866766095	94.8545861297539	94.1088739746458
PBANKA_0623300	91.7474521501367	93.0897340293313	85.6823266219239	81.257767834949	87.2980362913249	83.271190653741	76.9326373353219	85.0360427541636	90.1565995525727	95.625155356699	96.7437235893612	98.8565746955009
PBANKA_0623500	93.4377330350485	95.5754412130251	93.214019388516	87.0494655729555	92.5677355207557	90.5543127019637	88.2177479492916	94.3574446930152	97.1165796669152	98.2351478995774	99.1051454138702	99.2294307730549
PBANKA_0623600	21.3522247079294	13.4228187919463	30.2013422818792	7.48197862291822	8.89883171762366	22.0979368630375	6.4131245339299	8.10340541884166	14.0442455878697	6.83569475515784	11.956251553567	7.00969425801641
PBANKA_0700100	14.9888143176734	19.2393736017897	34.9241859308973	22.719363658961	28.0636341039026	22.296793437733	11.5833954760129	4.12627392493164	4.25055928411633	6.16455381556053	35.1976137211037	9.79368630375342
PBANKA_0700400	99.0305741983594	91.3497390007457	99.5028585632612	82.3266219239374	58.1158339547601	91.4491672880935	92.0954511558538	95.7245836440467	82.078051205568	86.7760377827492	91.7225950782998	86.5026099925429
