sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	type	lanetag	lasonder	is_control	pass_filter
PfG.439	ERS1544570	3429STDY6396191	6E_SC_Pfal_4E	SC	19715	4	39	PfG	439	Female	FALSE	TRUE
PfG.440	ERS1544571	3429STDY6396192	6F_SC_Pfal_4E	SC	19715	4	40	PfG	440	Female	FALSE	TRUE
PfG.441	ERS1544572	3429STDY6396193	6G_SC_Pfal_4E	SC	19715	4	41	PfG	441	Female	FALSE	TRUE
PfG.442	ERS1544573	3429STDY6396194	6H_SC_Pfal_4E	SC	19715	4	42	PfG	442	Female	FALSE	TRUE
PfG.443	ERS1544574	3429STDY6396195	7A_SC_Pfal_1E	SC	19715	4	43	PfG	443	Female	FALSE	TRUE
PfG.444	ERS1544575	3429STDY6396196	7B_SC_Pfal_1E	SC	19715	4	44	PfG	444	Female	FALSE	TRUE
PfG.445	ERS1544576	3429STDY6396197	7C_SC_Pfal_1E	SC	19715	4	45	PfG	445	Female	FALSE	TRUE
PfG.446	ERS1544577	3429STDY6396198	7D_SC_Pfal_1E	SC	19715	4	46	PfG	446	Female	FALSE	TRUE
PfG.447	ERS1544578	3429STDY6396199	7E_SC_Pfal_4E	SC	19715	4	47	PfG	447	Female	FALSE	TRUE
PfG.448	ERS1544579	3429STDY6396200	7F_SC_Pfal_4E	SC	19715	4	48	PfG	448	Female	FALSE	TRUE
PfG.449	ERS1544580	3429STDY6396201	7G_SC_Pfal_4E	SC	19715	4	49	PfG	449	Female	FALSE	TRUE
PfG.450	ERS1544581	3429STDY6396202	7H_SC_Pfal_4E	SC	19715	4	50	PfG	450	Female	FALSE	TRUE
PfG.451	ERS1544582	3429STDY6396203	8A_SC_Pfal_1E	SC	19715	4	51	PfG	451	Female	FALSE	TRUE
PfG.452	ERS1544583	3429STDY6396204	8B_SC_Pfal_1E	SC	19715	4	52	PfG	452	Female	FALSE	TRUE
PfG.453	ERS1544584	3429STDY6396205	8C_SC_Pfal_1E	SC	19715	4	53	PfG	453	Female	FALSE	TRUE
PfG.454	ERS1544585	3429STDY6396206	8D_SC_Pfal_1E	SC	19715	4	54	PfG	454	Female	FALSE	TRUE
PfG.455	ERS1544586	3429STDY6396207	8E_SC_Pfal_4E	SC	19715	4	55	PfG	455	Female	FALSE	TRUE
PfG.456	ERS1544587	3429STDY6396208	8F_SC_Pfal_4E	SC	19715	4	56	PfG	456	Female	FALSE	TRUE
PfG.457	ERS1544588	3429STDY6396209	8G_SC_Pfal_4E	SC	19715	4	57	PfG	457	Female	FALSE	TRUE
PfG.458	ERS1544589	3429STDY6396210	8H_SC_Pfal_4E	SC	19715	4	58	PfG	458	Female	FALSE	TRUE
PfG.459	ERS1544590	3429STDY6396211	9A_SC_Pfal_1E	SC	19715	4	59	PfG	459	Female	FALSE	TRUE
PfG.460	ERS1544591	3429STDY6396212	9B_SC_Pfal_1E	SC	19715	4	60	PfG	460	Female	FALSE	TRUE
PfG.461	ERS1544592	3429STDY6396213	9C_SC_Pfal_1E	SC	19715	4	61	PfG	461	Male	FALSE	TRUE
PfG.462	ERS1544593	3429STDY6396214	9D_SC_Pfal_1E	SC	19715	4	62	PfG	462	Female	FALSE	TRUE
PfG.463	ERS1544594	3429STDY6396215	9E_SC_Pfal_4E	SC	19715	4	63	PfG	463	Female	FALSE	TRUE
PfG.464	ERS1544595	3429STDY6396216	9F_SC_Pfal_4E	SC	19715	4	64	PfG	464	Female	FALSE	TRUE
PfG.465	ERS1544596	3429STDY6396217	9G_SC_Pfal_4E	SC	19715	4	65	PfG	465	Female	FALSE	TRUE
PfG.466	ERS1544597	3429STDY6396218	9H_SC_Pfal_4E	SC	19715	4	66	PfG	466	Female	FALSE	TRUE
