sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	is_control	sc3_k4	sc3_k3	sc3_sex_k3	hoo	otto	consensus	pass_filter
PbMB.365	ERS1544966	3429STDY6529190	11E_2_SC_Pber_Shz	SC	20625	8	365	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.366	ERS1544967	3429STDY6529191	11F_2_SC_Pber_Shz	SC	20625	8	366	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.367	ERS1544968	3429STDY6529192	11G_2_SC_Pber_Shz	SC	20625	8	367	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.377	ERS1544969	3429STDY6529193	12A_2_SC_Pber_Shz	SC	20625	8	377	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.378	ERS1544970	3429STDY6529194	12B_2_SC_Pber_Shz	SC	20625	8	378	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.379	ERS1544971	3429STDY6529195	12C_2_SC_Pber_Shz	SC	20625	8	379	FALSE	4	1	0	14HRS	trophozoite16h	trophozoite	TRUE
PbMB.380	ERS1544972	3429STDY6529196	12D_2_SC_Pber_Shz	SC	20625	8	380	FALSE	1	2	2	18HRS	gametocyteR3	male	TRUE
PbMB.381	ERS1544973	3429STDY6529197	12E_2_SC_Pber_Shz	SC	20625	8	381	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.382	ERS1544974	3429STDY6529198	12F_2_SC_Pber_Shz	SC	20625	8	382	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.383	ERS1544975	3429STDY6529199	12G_2_SC_Pber_Shz	SC	20625	8	383	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.160	ERS1544877	3429STDY6526851	10H_1_100cell_Pber_Shz	Hcell	20625	8	160	TRUE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.176	ERS1544878	3429STDY6526852	11H_1_100cell_Pber_Shz	Hcell	20625	8	176	TRUE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.192	ERS1544879	3429STDY6526853	12H_1_100cell_Pber_Shz	Hcell	20625	8	192	TRUE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.352	ERS1544880	3429STDY6526854	10H_2_100cell_Pber_Shz	Hcell	20625	8	352	TRUE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.368	ERS1544881	3429STDY6526855	11H_2_100cell_Pber_Shz	Hcell	20625	8	368	TRUE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.384	ERS1544882	3429STDY6526856	12H_2_100cell_Pber_Shz	Hcell	20625	8	384	TRUE	NA	NA	NA	NA	NA	NA	FALSE
