sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	is_control	sc3_k4	sc3_k3	sc3_sex_k3	hoo	otto	consensus	pass_filter
PbMB.90	ERS1544825	3429STDY6526793	6B_1_SC_Pber_Shz	SC	20625	8	90	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.91	ERS1544826	3429STDY6526794	6C_1_SC_Pber_Shz	SC	20625	8	91	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.92	ERS1544827	3429STDY6526795	6D_1_SC_Pber_Shz	SC	20625	8	92	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.93	ERS1544828	3429STDY6526796	6E_1_SC_Pber_Shz	SC	20625	8	93	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.94	ERS1544829	3429STDY6526797	6F_1_SC_Pber_Shz	SC	20625	8	94	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.95	ERS1544830	3429STDY6526798	6G_1_SC_Pber_Shz	SC	20625	8	95	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.96	ERS1544831	3429STDY6526799	6H_1_SC_Pber_Shz	SC	20625	8	96	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.105	ERS1544832	3429STDY6526800	7A_1_SC_Pber_Shz	SC	20625	8	105	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.106	ERS1544833	3429STDY6526801	7B_1_SC_Pber_Shz	SC	20625	8	106	FALSE	1	2	2	24HRS	gametocyteR	male	TRUE
PbMB.107	ERS1544834	3429STDY6526802	7C_1_SC_Pber_Shz	SC	20625	8	107	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.108	ERS1544835	3429STDY6526803	7D_1_SC_Pber_Shz	SC	20625	8	108	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.109	ERS1544836	3429STDY6526804	7E_1_SC_Pber_Shz	SC	20625	8	109	FALSE	4	1	0	14HRS	schizontR	trophozoite	TRUE
PbMB.110	ERS1544837	3429STDY6526805	7F_1_SC_Pber_Shz	SC	20625	8	110	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.111	ERS1544838	3429STDY6526806	7G_1_SC_Pber_Shz	SC	20625	8	111	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.112	ERS1544839	3429STDY6526807	7H_1_SC_Pber_Shz	SC	20625	8	112	FALSE	3	1	0	14HRS	schizont22h	schizont	TRUE
PbMB.121	ERS1544840	3429STDY6526808	8A_1_SC_Pber_Shz	SC	20625	8	121	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.122	ERS1544841	3429STDY6526809	8B_1_SC_Pber_Shz	SC	20625	8	122	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.123	ERS1544842	3429STDY6526810	8C_1_SC_Pber_Shz	SC	20625	8	123	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.124	ERS1544843	3429STDY6526811	8D_1_SC_Pber_Shz	SC	20625	8	124	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.125	ERS1544844	3429STDY6526812	8E_1_SC_Pber_Shz	SC	20625	8	125	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.126	ERS1544845	3429STDY6526813	8F_1_SC_Pber_Shz	SC	20625	8	126	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.127	ERS1544846	3429STDY6526814	8G_1_SC_Pber_Shz	SC	20625	8	127	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.128	ERS1544847	3429STDY6526815	8H_1_SC_Pber_Shz	SC	20625	8	128	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.137	ERS1544848	3429STDY6526816	9A_1_SC_Pber_Shz	SC	20625	8	137	FALSE	2	3	1	24HRS	schizont22h	female	TRUE
PbMB.138	ERS1544849	3429STDY6526817	9B_1_SC_Pber_Shz	SC	20625	8	138	FALSE	3	1	0	14HRS	schizont22h	schizont	TRUE
PbMB.139	ERS1544850	3429STDY6526818	9C_1_SC_Pber_Shz	SC	20625	8	139	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.140	ERS1544851	3429STDY6526819	9D_1_SC_Pber_Shz	SC	20625	8	140	FALSE	4	1	0	14HRS	trophozoite16h	trophozoite	TRUE
PbMB.141	ERS1544852	3429STDY6526820	9E_1_SC_Pber_Shz	SC	20625	8	141	FALSE	1	2	2	18HRS	gametocyteR3	male	TRUE
PbMB.142	ERS1544853	3429STDY6526821	9F_1_SC_Pber_Shz	SC	20625	8	142	FALSE	3	1	0	16HRS	schizont22h	schizont	TRUE
PbMB.143	ERS1544854	3429STDY6526822	9G_1_SC_Pber_Shz	SC	20625	8	143	FALSE	4	1	0	14HRS	gametocyteR3	trophozoite	TRUE
PbMB.144	ERS1544855	3429STDY6526823	9H_1_SC_Pber_Shz	SC	20625	8	144	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.153	ERS1544856	3429STDY6526824	10A_1_SC_Pber_Shz	SC	20625	8	153	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.154	ERS1544857	3429STDY6526825	10B_1_SC_Pber_Shz	SC	20625	8	154	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.155	ERS1544858	3429STDY6526826	10C_1_SC_Pber_Shz	SC	20625	8	155	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.156	ERS1544859	3429STDY6526827	10D_1_SC_Pber_Shz	SC	20625	8	156	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.157	ERS1544860	3429STDY6526828	10E_1_SC_Pber_Shz	SC	20625	8	157	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.158	ERS1544861	3429STDY6526829	10F_1_SC_Pber_Shz	SC	20625	8	158	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.159	ERS1544862	3429STDY6526830	10G_1_SC_Pber_Shz	SC	20625	8	159	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.169	ERS1544863	3429STDY6526831	11A_1_SC_Pber_Shz	SC	20625	8	169	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.170	ERS1544864	3429STDY6526832	11B_1_SC_Pber_Shz	SC	20625	8	170	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.171	ERS1544865	3429STDY6526833	11C_1_SC_Pber_Shz	SC	20625	8	171	FALSE	4	1	0	14HRS	schizont22h	trophozoite	TRUE
PbMB.172	ERS1544866	3429STDY6526834	11D_1_SC_Pber_Shz	SC	20625	8	172	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.173	ERS1544867	3429STDY6526835	11E_1_SC_Pber_Shz	SC	20625	8	173	FALSE	1	2	2	24HRS	gametocyteR3	male	TRUE
PbMB.174	ERS1544868	3429STDY6526836	11F_1_SC_Pber_Shz	SC	20625	8	174	FALSE	3	1	0	18HRS	schizont22h	schizont	TRUE
PbMB.175	ERS1544869	3429STDY6526837	11G_1_SC_Pber_Shz	SC	20625	8	175	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.185	ERS1544870	3429STDY6526838	12A_1_SC_Pber_Shz	SC	20625	8	185	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.186	ERS1544871	3429STDY6526839	12B_1_SC_Pber_Shz	SC	20625	8	186	FALSE	1	2	2	18HRS	gametocyteR3	male	TRUE
PbMB.187	ERS1544872	3429STDY6526840	12C_1_SC_Pber_Shz	SC	20625	8	187	FALSE	3	1	0	16HRS	schizont22h	schizont	TRUE
PbMB.188	ERS1544873	3429STDY6526841	12D_1_SC_Pber_Shz	SC	20625	8	188	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
PbMB.189	ERS1544874	3429STDY6526842	12E_1_SC_Pber_Shz	SC	20625	8	189	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.190	ERS1544875	3429STDY6526843	12F_1_SC_Pber_Shz	SC	20625	8	190	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.191	ERS1544876	3429STDY6526844	12G_1_SC_Pber_Shz	SC	20625	8	191	FALSE	NA	NA	NA	NA	NA	NA	FALSE
PbMB.202	ERS1544884	3429STDY6529108	1B_2_SC_Pber_Shz	SC	20625	8	202	FALSE	2	3	1	24HRS	gametocyteR3	female	TRUE
PbMB.203	ERS1544885	3429STDY6529109	1C_2_SC_Pber_Shz	SC	20625	8	203	FALSE	4	1	0	10HRS	trophozoite16h	trophozoite	TRUE
PbMB.204	ERS1544886	3429STDY6529110	1D_2_SC_Pber_Shz	SC	20625	8	204	FALSE	2	3	1	24HRS	gametocyteR	female	TRUE
